source_id,digital_page,printed_page,section,material_role,coverage,review_status,transcription_file,uncertainty_count,notes
ALC1737,70,56,part_iii,,pending,unreviewed,,,
ALC1737,71,57,part_iii,,pending,unreviewed,,,
ALC1737,72,58,part_iii,,pending,unreviewed,,,
ALC1737,73,59,part_iii,,pending,unreviewed,,,
ALC1737,74,60,part_iii,,pending,unreviewed,,,
ALC1737,75,61,part_iii,,pending,unreviewed,,,
ALC1737,76,62,part_iii,,pending,unreviewed,,,
ALC1737,77,63,part_iii,,pending,unreviewed,,,
ALC1737,78,64,part_iii,,pending,unreviewed,,,
ALC1737,79,65,part_iii,,pending,unreviewed,,,
ALC1737,80,66,part_iii,,pending,unreviewed,,,
ALC1737,81,67,part_iii,,pending,unreviewed,,,
ALC1737,82,68,part_iii,,pending,unreviewed,,,
ALC1737,83,69,part_iii,,pending,unreviewed,,,
ALC1737,84,70,part_iii,,pending,unreviewed,,,
ALC1737,85,71,part_iii,,pending,unreviewed,,,
ALC1737,86,72,part_iii,,pending,unreviewed,,,
ALC1737,87,73,part_iii,,pending,unreviewed,,,
ALC1737,88,74,part_iii,,pending,unreviewed,,,
ALC1737,89,75,part_iii,,pending,unreviewed,,,
ALC1737,90,76,part_iii,,pending,unreviewed,,,
ALC1737,91,77,part_iii,,pending,unreviewed,,,
ALC1737,92,78,part_iii,,pending,unreviewed,,,
ALC1737,93,79,part_iii,,pending,unreviewed,,,
ALC1737,94,80,part_iii,,pending,unreviewed,,,
ALC1737,95,81,part_iii,,pending,unreviewed,,,
ALC1737,96,82,part_iii,,pending,unreviewed,,,
ALC1737,97,83,part_iii,,pending,unreviewed,,,
ALC1737,98,84,part_iii,,pending,unreviewed,,,
ALC1737,99,85,part_iii,,pending,unreviewed,,,
ALC1737,100,86,part_iii,,pending,unreviewed,,,
ALC1737,101,87,part_iii,,pending,unreviewed,,,
ALC1737,102,88,part_iii,,pending,unreviewed,,,
ALC1737,103,89,part_iii,,pending,unreviewed,,,
ALC1737,104,90,part_iii,,pending,unreviewed,,,
ALC1737,105,91,part_iv,,pending,unreviewed,,,
ALC1737,106,92,part_iv,,pending,unreviewed,,,
ALC1737,107,93,part_iv,,pending,unreviewed,,,
ALC1737,108,94,part_iv,,pending,unreviewed,,,
ALC1737,109,95,part_iv,,pending,unreviewed,,,
ALC1737,110,96,part_iv,,pending,unreviewed,,,
ALC1737,111,97,part_iv,,pending,unreviewed,,,
ALC1737,112,98,part_iv,,pending,unreviewed,,,
ALC1737,113,99,part_iv,,pending,unreviewed,,,
ALC1737,114,100,part_iv,,pending,unreviewed,,,
ALC1737,115,101,part_iv,,pending,unreviewed,,,
ALC1737,116,102,part_iv,,pending,unreviewed,,,
ALC1737,117,103,part_iv,,pending,unreviewed,,,
ALC1737,118,104,part_iv,,pending,unreviewed,,,
ALC1737,119,105,part_iv,,pending,unreviewed,,,
ALC1737,120,106,part_iv,,pending,unreviewed,,,
ALC1737,121,107,part_iv,,pending,unreviewed,,,
ALC1737,122,108,part_iv,,pending,unreviewed,,,
ALC1737,123,109,part_iv,,pending,unreviewed,,,
ALC1737,124,110,part_iv,,pending,unreviewed,,,
ALC1737,125,111,part_iv,,pending,unreviewed,,,
ALC1737,126,112,part_iv,,pending,unreviewed,,,
ALC1737,127,113,part_iv,,pending,unreviewed,,,
ALC1737,128,114,part_iv,,pending,unreviewed,,,
ALC1737,129,115,part_iv,,pending,unreviewed,,,
ALC1737,130,116,part_iv,,pending,unreviewed,,,
ALC1737,131,117,part_iv,,pending,unreviewed,,,
ALC1737,132,118,part_iv,,pending,unreviewed,,,
ALC1737,133,,vocabulary,,pending,unreviewed,,,
ALC1737,134,,vocabulary,,excerpt,machine_corrected_unverified,data/transcription/pages/ALC1737_p134.json,,pilot excerpt only; full page pending
ALC1737,135,,vocabulary,,pending,unreviewed,,,
ALC1737,136,,vocabulary,,pending,unreviewed,,,
ALC1737,137,,vocabulary,,pending,unreviewed,,,
ALC1737,138,,vocabulary,,pending,unreviewed,,,
ALC1737,139,,vocabulary,,pending,unreviewed,,,
ALC1737,140,,vocabulary,,pending,unreviewed,,,
ALC1737,141,,vocabulary,,pending,unreviewed,,,
ALC1737,142,,vocabulary,,pending,unreviewed,,,
ALC1737,143,,vocabulary,,pending,unreviewed,,,
ALC1737,144,,vocabulary,,pending,unreviewed,,,
ALC1737,145,,vocabulary,,pending,unreviewed,,,
ALC1737,146,,vocabulary,,pending,unreviewed,,,
ALC1737,147,,vocabulary,,pending,unreviewed,,,
ALC1737,148,,vocabulary,,pending,unreviewed,,,
ALC1737,149,,vocabulary,,pending,unreviewed,,,
ALC1737,150,,vocabulary,,pending,unreviewed,,,
ALC1737,151,,vocabulary,,pending,unreviewed,,,
ALC1737,152,,vocabulary,,pending,unreviewed,,,
ALC1737,153,,vocabulary,,pending,unreviewed,,,
ALC1737,154,,vocabulary,,pending,unreviewed,,,
ALC1737,155,,vocabulary,,pending,unreviewed,,,
ALC1737,156,,vocabulary,,pending,unreviewed,,,
ALC1737,157,,vocabulary,,pending,unreviewed,,,
ALC1737,158,,vocabulary,,pending,unreviewed,,,
ALC1737,159,,vocabulary,,pending,unreviewed,,,
ALC1737,160,,vocabulary,,pending,unreviewed,,,
ALC1737,161,,vocabulary,,pending,unreviewed,,,
ALC1737,162,,vocabulary,,pending,unreviewed,,,
ALC1737,163,,vocabulary,,pending,unreviewed,,,
ALC1737,164,,vocabulary,,pending,unreviewed,,,
ALC1737,165,,vocabulary,,pending,unreviewed,,,
ALC1737,166,,vocabulary,,pending,unreviewed,,,
ALC1737,167,,vocabulary,,pending,unreviewed,,,
ALC1737,168,,vocabulary,,pending,unreviewed,,,
ALC1737,169,,vocabulary,,pending,unreviewed,,,
ALC1737,170,,vocabulary,,pending,unreviewed,,,
ALC1737,171,,vocabulary,,pending,unreviewed,,,
ALC1737,172,,vocabulary,,pending,unreviewed,,,
ALC1737,173,,vocabulary,,pending,unreviewed,,,
ALC1737,174,,vocabulary,,pending,unreviewed,,,
ALC1737,175,,vocabulary,,pending,unreviewed,,,
ALC1737,176,,vocabulary,,pending,unreviewed,,,
ALC1737,177,,vocabulary,,pending,unreviewed,,,
ALC1737,178,,numerals,,pending,unreviewed,,,
ALC1737,179,,numerals,,pending,unreviewed,,,
ALC1737,180,,numerals,,pending,unreviewed,,,
ALC1737,181,,end_matter,inside_back_cover,not_applicable_material,material_identified,,,inside_back_cover
ALC1737,182,,end_matter,back_cover,not_applicable_material,material_identified,,,back_cover
